역번호,역명,1월 승차,1월 하차,2월 승차,2월 하차,3월 승차,3월 하차,4월 승차,4월 하차,5월 승차,5월 하차
1101,판암,107462,96768,109549,98253,126568,114675,120298,108580,125280,113086
1102,신흥,42346,38462,42899,38531,48647,44405,46330,42459,48318,44344
1103,대동,101194,88671,101158,88720,136844,119410,127058,111056,133579,116612
1104,대전,298707,284204,303962,290629,333709,323297,323285,311340,336775,322998
1105,중앙로,150261,165006,155600,171044,157885,173968,150194,165512,162978,178251
1106,중구청,53210,56637,53650,57446,63875,66255,60363,62876,62749,66291
1107,서대전네거리,152154,160278,156241,163510,178736,186235,164385,173417,169373,178087
1108,오룡,104945,95948,108461,98098,125404,113421,118034,107287,121841,110439
1109,용문,160381,161936,165060,168183,189346,193099,180858,183242,189974,192650
1110,탄방,116685,126386,116917,126850,129437,142505,119749,130911,124179,136420
1111,시청,203042,206841,208782,212489,215622,224443,201171,209019,211900,219794
1112,정부청사,169275,185432,174691,190582,195853,210387,184074,198163,190440,205991
1113,갈마,79123,80190,80975,81999,90493,90634,86685,86370,90148,89707
1114,월평,90923,91809,90190,89710,105667,105488,99054,99478,102462,102481
1115,갑천,25483,25241,26321,25934,30151,29814,29033,29050,29326,29099
1116,유성온천,247570,259939,255347,268061,291455,303343,270274,281224,289574,302836
1117,구암,76323,76377,77932,77610,91540,91258,87416,87722,89957,90203
1118,현충원,51013,41140,53215,42981,77250,64692,73859,61658,77506,65316
1119,월드컵경기장,69527,61469,71369,63822,79998,71638,80552,73690,80325,73318
1120,노은,108647,113951,109726,114532,118980,124568,113153,117969,118672,123760
1121,지족,56632,53770,56579,54081,66532,63572,62233,59207,64540,61171
1122,반석,198225,182587,203029,187003,228426,213792,215365,201880,221793,207400
